PORTFOLIO,INITIAL_INVESTMENT_STOCKS,MEMBER_ID
CCSO,1250.0,MID000001
MPJ,1250.0,MID000001
ABC,1250.0,MID000001
EG,1250.0,MID000001
EG,7666.666666666667,MID000002
ABC,7666.666666666667,MID000002
ONH,7666.666666666667,MID000002
MZNA,7666.666666666667,MID000002
FWC,7666.666666666667,MID000002
GMNA,7666.666666666667,MID000002
TCA,7666.666666666667,MID000002
OCST,7666.666666666667,MID000002
ALPA,7666.666666666667,MID000002
MMM,8166.666666666667,MID000003
PG,8166.666666666667,MID000003
NTIC,8166.666666666667,MID000003
EPF,8166.666666666667,MID000003
SM,8166.666666666667,MID000003
ALPA,8166.666666666667,MID000003
JJN,166.66666666666666,MID000004
PG,166.66666666666666,MID000004
AB,166.66666666666666,MID000004
OOGGL,166.66666666666666,MID000004
NTIC,166.66666666666666,MID000004
MMM,166.66666666666666,MID000004
SM,714.2857142857143,MID000005
JJN,714.2857142857143,MID000005
ALPA,714.2857142857143,MID000005
NTIC,714.2857142857143,MID000005
HD,714.2857142857143,MID000005
AB,714.2857142857143,MID000005
MZNA,714.2857142857143,MID000005
FWC,11000.0,MID000006
ONH,11000.0,MID000006
MMM,11000.0,MID000006
LTSA,11000.0,MID000006
GMNA,11000.0,MID000006
JJN,1666.6666666666667,MID000007
EG,1666.6666666666667,MID000007
AB,1666.6666666666667,MID000007
ONH,1833.3333333333333,MID000008
EPF,1833.3333333333333,MID000008
MMM,1833.3333333333333,MID000008
FWC,1833.3333333333333,MID000008
LTSA,1833.3333333333333,MID000008
OK,1833.3333333333333,MID000008
OCST,13333.333333333334,MID000009
HD,13333.333333333334,MID000009
DMC,13333.333333333334,MID000009
ALPA,13333.333333333334,MID000009
AB,13333.333333333334,MID000009
ABC,13333.333333333334,MID000009
PG,12250.0,MID000010
TCA,12250.0,MID000010
NTIC,12250.0,MID000010
ABC,12250.0,MID000010
SM,11250.0,MID000011
TWM,11250.0,MID000011
PEP,11250.0,MID000011
EG,11250.0,MID000011
ABT,11250.0,MID000012
EPF,11250.0,MID000012
DMC,11250.0,MID000012
MPJ,11250.0,MID000012
ONH,2200.0,MID000013
SM,2200.0,MID000013
OOGGL,2200.0,MID000013
OK,2200.0,MID000013
GMNA,2200.0,MID000013
FWC,833.3333333333334,MID000014
NEK,833.3333333333334,MID000014
OCST,833.3333333333334,MID000014
EG,833.3333333333334,MID000014
MPJ,833.3333333333334,MID000014
HD,833.3333333333334,MID000014
GS,111.11111111111111,MID000015
ABC,111.11111111111111,MID000015
JJN,111.11111111111111,MID000015
