MEMBER_ID,OPTIMIZED_EXPECTED_FINAL_PORTFOLIO_VALUE,OPTIMIZED_MEDIAN_FINAL_PORTFOLIO_VALUE,OPTIMIZED_STANDARD_DEVIATION_OF_FINAL_PORTFOLIO_VALUE,OPTIMIZED_VALUE_AT_RISK,OPTIMIZED_CONDITIONAL_VALUE_AT_RISK,OPTIMIZED_PROBABILITY_OF_LOSS,OPTIMIZED_SHARPE_RATIO
MID000001,"$6,467.36","$6,339.06","$1,314.62",,,12.00%,1.1162
MID000002,"$87,989.56","$86,695.94","$18,228.57",,,15.80%,1.0417
MID000003,"$62,284.16","$60,616.68","$13,429.26",,,14.00%,0.9892
MID000004,"$1,289.41","$1,254.90",$290.53,,,14.60%,0.9961
MID000005,"$6,464.04","$6,259.84","$1,337.79",,,11.60%,1.0944
MID000006,"$70,278.88","$68,902.14","$14,770.50",,,13.80%,1.0344
MID000007,"$6,514.78","$6,422.48","$1,390.03",,,12.40%,1.0897
MID000008,"$14,398.95","$14,232.29","$2,997.13",,,11.40%,1.1341
MID000009,"$102,554.58","$99,923.63","$20,790.72",,,11.20%,1.0848
MID000010,"$63,895.16","$62,894.89","$13,258.21",,,11.00%,1.1235
MID000011,"$57,570.87","$56,385.62","$11,987.68",,,13.60%,1.0486
MID000012,"$58,015.35","$56,405.30","$12,075.46",,,13.20%,1.0778
MID000013,"$14,368.13","$13,807.54","$3,129.29",,,11.80%,1.0763
MID000014,"$6,473.86","$6,279.28","$1,344.40",,,12.00%,1.0963
MID000015,"$1,293.31","$1,266.23",$287.37,,,13.80%,1.0207
MID000016,"$63,451.59","$61,872.72","$13,365.80",,,12.20%,1.0812
MID000017,"$57,761.40","$56,651.35","$12,591.18",,,15.00%,1.0135
MID000018,"$62,730.22","$61,012.86","$13,112.37",,,12.80%,1.0471
MID000019,"$6,474.07","$6,281.27","$1,347.18",,,11.20%,1.0942
MID000020,"$1,295.01","$1,267.19",$272.40,,,12.20%,1.0830
MID000021,"$103,165.47","$100,249.98","$21,929.25",,,12.60%,1.0564
MID000022,"$112,392.59","$109,344.27","$22,908.16",,,13.00%,1.0648
MID000023,"$1,306,319.72","$1,256,278.03","$271,328.81",,,11.00%,1.1290
MID000024,"$1,299.62","$1,274.53",$279.37,,,12.40%,1.0725
MID000025,"$116,677.98","$113,604.78","$26,049.60",,,10.60%,1.1009
MID000026,"$88,750.29","$86,853.72","$20,342.76",,,16.20%,0.9709
MID000027,"$115,089.07","$113,126.07","$26,212.41",,,14.40%,1.0334
MID000028,"$12,985.81","$12,657.20","$2,739.53",,,13.20%,1.0899
MID000029,"$51,049.32","$49,570.98","$10,317.30",,,12.20%,1.0710
MID000030,"$12,722.29","$12,560.05","$2,495.08",,,13.40%,1.0911
MID000031,"$103,476.95","$100,982.84","$22,410.38",,,14.20%,1.0476
MID000032,"$63,928.03","$61,964.84","$13,827.02",,,12.60%,1.0796
MID000033,"$12,949.50","$12,642.61","$2,915.04",,,14.40%,1.0118
MID000034,"$91,479.57","$89,766.77","$19,989.89",,,13.00%,1.1245
MID000035,"$57,781.71","$56,824.06","$11,339.08",,,11.20%,1.1272
MID000036,"$64,279.46","$63,088.70","$13,906.66",,,11.80%,1.0987
MID000037,"$111,955.17","$107,717.53","$24,575.05",,,14.80%,0.9748
MID000038,"$116,001.78","$112,480.53","$25,796.80",,,13.80%,1.0079
MID000039,"$103,722.41","$101,281.13","$22,075.68",,,12.80%,1.0746
MID000040,"$71,364.00","$69,103.32","$15,612.35",,,13.60%,1.0481
MID000041,"$101,780.74","$99,996.35","$20,708.47",,,15.00%,1.0518
MID000042,"$1,270.78","$1,237.88",$258.91,,,14.80%,1.0459
MID000043,"$57,329.05","$55,783.56","$11,700.00",,,13.60%,1.0538
MID000044,"$63,604.11","$63,708.18","$13,409.66",,,15.00%,1.0891
MID000045,"$71,060.76","$68,949.39","$15,086.94",,,12.00%,1.0645
MID000046,"$114,730.54","$110,833.24","$25,757.85",,,13.60%,1.0378
MID000047,"$12,825.19","$12,457.51","$2,861.70",,,15.40%,0.9872
MID000048,"$12,949.87","$12,664.57","$2,652.56",,,14.00%,1.1121
MID000049,"$103,691.93","$101,942.75","$20,952.74",,,11.00%,1.1307
MID000050,"$65,737.98","$65,017.49","$13,779.88",,,13.00%,1.1421
MID000051,"$1,292.11","$1,250.66",$276.80,,,12.80%,1.0553
MID000052,"$58,386.94","$57,009.28","$12,534.69",,,14.00%,1.0680
MID000053,"$6,411.20","$6,191.19","$1,366.87",,,13.20%,1.0324
MID000054,"$6,401.70","$6,235.21","$1,316.85",,,14.40%,1.0644
MID000055,"$1,275.39","$1,253.57",$272.74,,,15.00%,1.0097
MID000056,"$63,912.72","$62,623.65","$13,203.48",,,11.40%,1.1295
MID000057,"$124,737.30","$122,414.53","$26,205.31",,,14.00%,1.0585
MID000058,"$14,264.93","$13,915.99","$3,190.27",,,15.40%,1.0234
MID000059,"$12,982.79","$12,667.96","$2,921.12",,,13.20%,1.0211
MID000060,"$113,320.91","$110,335.92","$24,092.51",,,13.80%,1.0510
MID000061,"$57,529.57","$55,697.20","$12,162.60",,,13.60%,1.0302
MID000062,"$64,125.97","$62,301.26","$13,333.96",,,14.80%,1.0594
MID000063,"$1,282.36","$1,260.20",$262.13,,,12.60%,1.0772
MID000064,"$1,291,395.50","$1,258,391.18","$273,762.81",,,13.80%,1.0644
MID000065,"$1,296,808.42","$1,283,808.67","$273,793.89",,,14.60%,1.0841
MID000066,"$1,274,629.45","$1,238,249.92","$274,688.80",,,14.40%,0.9998
MID000067,"$87,669.55","$85,746.84","$17,462.84",,,15.40%,1.0691
MID000068,"$105,383.70","$103,241.35","$23,066.05",,,12.00%,1.1005
MID000069,"$64,203.00","$62,706.36","$13,767.00",,,12.40%,1.1043
MID000070,"$63,474.21","$62,339.64","$12,795.60",,,10.80%,1.1312
MID000071,"$89,721.68","$88,438.10","$19,861.23",,,13.60%,1.0433
MID000072,"$64,799.21","$63,372.20","$13,591.24",,,12.80%,1.0889
MID000073,"$65,416.32","$64,074.33","$14,095.26",,,11.80%,1.0937
MID000074,"$13,001.78","$12,688.63","$2,953.20",,,14.20%,1.0165
MID000075,"$1,289,823.25","$1,253,417.13","$272,417.90",,,12.40%,1.0639
MID000076,"$6,481.80","$6,311.00","$1,398.31",,,13.60%,1.0597
MID000077,"$64,356.72","$63,699.57","$13,930.09",,,15.00%,1.0306
MID000078,"$88,914.93","$87,059.20","$18,529.15",,,14.00%,1.0748
MID000079,"$63,690.96","$62,449.58","$12,900.69",,,12.60%,1.0613
MID000080,"$63,676.68","$62,192.92","$13,880.39",,,12.20%,1.0574
MID000081,"$6,483.98","$6,279.12","$1,337.44",,,10.40%,1.1096
MID000082,"$1,302,031.26","$1,268,016.63","$287,662.86",,,13.80%,1.0499
MID000083,"$14,096.99","$13,791.96","$3,020.60",,,15.00%,1.0253
MID000084,"$113,497.53","$112,164.61","$22,204.90",,,11.40%,1.1483
MID000085,"$63,811.97","$61,962.56","$14,122.54",,,13.00%,1.0488
MID000086,"$115,060.86","$113,082.89","$23,215.22",,,12.80%,1.0795
MID000087,"$113,932.25","$111,899.34","$24,167.56",,,12.60%,1.0730
MID000088,"$114,899.36","$112,619.61","$24,739.30",,,14.00%,1.0873
MID000089,"$72,208.23","$71,124.27","$16,026.38",,,11.40%,1.0737
MID000090,"$58,231.17","$56,862.35","$12,333.62",,,11.60%,1.0728
MID000091,"$116,005.57","$114,002.92","$23,665.33",,,12.40%,1.0989
MID000092,"$1,321,120.36","$1,283,342.80","$290,213.01",,,9.80%,1.1065
MID000093,"$125,185.78","$123,563.25","$26,713.77",,,14.60%,1.0551
MID000094,"$104,724.19","$102,310.22","$22,536.32",,,12.20%,1.0971
MID000095,"$62,707.46","$61,103.98","$13,395.33",,,13.60%,1.0233
MID000096,"$58,012.58","$56,016.34","$12,413.92",,,13.40%,1.0482
MID000097,"$115,860.55","$113,396.13","$25,660.09",,,12.40%,1.0078
MID000098,"$89,085.58","$87,761.23","$18,580.28",,,13.40%,1.0810
MID000099,"$70,389.94","$69,325.61","$14,376.69",,,14.20%,1.0705
MID000100,"$51,385.02","$50,254.34","$11,538.58",,,16.00%,0.9867
MID000101,"$70,052.00","$68,933.31","$14,608.45",,,15.00%,1.0304
MID000102,"$57,310.56","$56,098.12","$11,701.10",,,14.00%,1.0521
MID000103,"$125,303.83","$119,457.10","$27,792.30",,,12.60%,1.0184
MID000104,"$14,374.52","$14,120.56","$3,293.22",,,14.00%,1.0247
MID000105,"$116,122.98","$113,734.66","$25,409.37",,,14.60%,1.0281
MID000106,"$124,150.00","$121,635.69","$25,287.08",,,11.80%,1.0737
MID000107,"$59,072.02","$58,134.26","$12,687.26",,,12.40%,1.1091
MID000108,"$89,118.29","$87,987.82","$19,801.88",,,15.00%,1.0160
MID000109,"$1,284,371.27","$1,253,320.57","$282,350.62",,,14.60%,1.0072
MID000110,"$58,008.66","$56,311.83","$12,634.58",,,13.40%,1.0296
MID000111,"$1,291,956.85","$1,256,846.47","$273,192.10",,,12.20%,1.0687
MID000112,"$6,587.50","$6,441.49","$1,378.41",,,10.60%,1.1517
MID000113,"$63,081.35","$61,734.23","$13,253.77",,,14.20%,1.0624
MID000114,"$71,745.57","$70,646.16","$14,730.39",,,13.40%,1.1368
MID000115,"$1,287.35","$1,266.27",$268.35,,,11.60%,1.0708
MID000116,"$1,305,129.22","$1,251,806.26","$294,512.61",,,13.20%,1.0360
MID000117,"$6,467.62","$6,341.78","$1,288.84",,,11.40%,1.1387
MID000118,"$51,647.07","$50,686.14","$10,940.18",,,13.60%,1.0646
MID000119,"$112,723.50","$108,930.12","$25,053.23",,,14.80%,0.9868
MID000120,"$124,977.40","$121,492.70","$26,496.40",,,12.20%,1.0559
MID000121,"$63,297.33","$62,182.96","$13,396.96",,,15.80%,0.9926
MID000122,"$57,479.03","$56,398.90","$12,778.88",,,16.40%,0.9765
MID000123,"$6,296.12","$6,141.30","$1,348.71",,,15.40%,0.9610
MID000124,"$64,643.04","$63,037.34","$14,323.21",,,13.20%,1.0223
MID000125,"$117,542.89","$114,801.01","$25,435.04",,,12.80%,1.0829
MID000126,"$124,356.67","$121,593.57","$26,786.01",,,14.00%,1.0213
MID000127,"$113,192.74","$111,053.36","$23,291.17",,,12.00%,1.0816
MID000128,"$1,299,101.02","$1,265,431.16","$277,376.00",,,14.00%,1.0783
MID000129,"$113,682.84","$112,099.83","$24,060.65",,,14.20%,1.0674
MID000130,"$70,931.66","$70,152.32","$15,023.98",,,15.20%,1.0604
MID000131,"$62,620.76","$62,132.18","$13,062.76",,,13.60%,1.0427
MID000132,"$1,284,772.70","$1,271,140.37","$259,737.16",,,12.40%,1.0964
MID000133,"$1,294,579.23","$1,268,785.09","$262,892.93",,,11.00%,1.1205
MID000134,"$70,215.86","$69,473.58","$14,766.38",,,16.60%,1.0304
MID000135,"$114,377.59","$111,994.58","$24,515.91",,,12.40%,1.0759
MID000136,"$103,304.34","$100,959.00","$21,518.17",,,12.80%,1.0830
MID000137,"$12,903.82","$12,632.98","$2,646.39",,,13.00%,1.0973
MID000138,"$104,155.73","$101,574.40","$22,504.20",,,13.20%,1.0734
MID000139,"$64,081.42","$62,685.13","$13,145.68",,,10.00%,1.1473
MID000140,"$51,930.84","$50,399.55","$11,019.24",,,12.20%,1.0827
MID000141,"$51,698.91","$51,026.03","$10,206.98",,,11.20%,1.1462
MID000142,"$58,115.57","$55,559.13","$13,043.80",,,13.80%,1.0055
MID000143,"$58,485.97","$56,260.64","$12,628.73",,,12.00%,1.0679
MID000144,"$70,455.61","$69,463.59","$15,599.30",,,15.40%,0.9908
MID000145,"$114,354.29","$111,956.71","$24,974.29",,,15.40%,0.9752
MID000146,"$65,802.82","$64,397.69","$14,052.91",,,12.00%,1.1245
MID000147,"$114,160.08","$110,710.90","$24,473.69",,,13.00%,1.0689
MID000148,"$13,936.36","$13,689.19","$3,054.12",,,16.60%,0.9614
MID000149,"$115,044.10","$110,859.72","$24,257.09",,,13.00%,1.0324
MID000150,"$6,454.10","$6,365.00","$1,351.35",,,14.00%,1.0760
MID000151,"$57,705.57","$56,159.35","$12,201.16",,,13.00%,1.0413
MID000152,"$112,005.00","$109,197.85","$22,768.02",,,14.00%,1.0543
MID000153,"$1,274,313.21","$1,242,429.31","$279,101.83",,,15.20%,0.9828
MID000154,"$125,775.82","$123,867.12","$25,894.31",,,11.60%,1.1113
MID000155,"$126,508.91","$123,884.23","$27,538.98",,,12.40%,1.0715
MID000156,"$62,885.74","$61,361.54","$13,424.92",,,13.60%,1.0343
MID000157,"$1,303,406.40","$1,273,123.09","$277,049.42",,,12.20%,1.0951
MID000158,"$102,440.08","$101,024.34","$21,485.56",,,13.60%,1.0444
MID000159,"$123,093.75","$119,349.75","$26,192.16",,,13.60%,0.9962
MID000160,"$64,237.18","$62,924.86","$13,536.06",,,12.60%,1.0518
MID000161,"$64,653.14","$63,054.64","$13,640.36",,,15.00%,1.0742
MID000162,"$64,271.58","$61,897.32","$13,866.88",,,12.60%,1.0292
MID000163,"$1,287.73","$1,264.22",$282.70,,,13.60%,1.0178
MID000164,"$124,308.35","$123,251.35","$26,902.39",,,15.80%,1.0151
MID000165,"$115,731.15","$112,401.11","$24,059.96",,,12.40%,1.0695
MID000166,"$63,798.06","$61,739.47","$13,773.13",,,14.00%,1.0018
MID000167,"$124,724.93","$121,298.20","$28,046.76",,,15.80%,0.9885
MID000168,"$62,230.57","$60,637.38","$13,573.31",,,16.80%,0.9747
MID000169,"$14,037.04","$13,774.94","$2,843.96",,,13.40%,1.0679
MID000170,"$125,057.63","$121,667.86","$25,997.04",,,12.20%,1.0793
MID000171,"$1,304,068.48","$1,282,699.85","$279,185.86",,,12.40%,1.0891
MID000172,"$117,524.97","$115,356.78","$25,176.01",,,14.40%,1.0933
MID000173,"$89,007.77","$86,988.17","$19,899.87",,,16.40%,1.0054
MID000174,"$124,932.70","$121,080.80","$27,764.60",,,14.60%,1.0061
MID000175,"$113,018.54","$110,779.52","$25,071.05",,,14.60%,0.9979
MID000176,"$63,004.64","$61,232.64","$13,417.73",,,13.00%,1.0437
MID000177,"$1,303,472.39","$1,271,725.10","$293,835.67",,,15.80%,1.0328
MID000178,"$118,342.59","$116,096.63","$25,727.71",,,11.20%,1.1016
MID000179,"$1,306.39","$1,272.01",$275.95,,,13.00%,1.1103
MID000180,"$63,295.20","$62,015.57","$13,650.64",,,14.80%,1.0472
MID000181,"$1,257,625.49","$1,248,671.60","$268,873.70",,,17.80%,0.9582
MID000182,"$62,870.79","$61,692.47","$13,530.41",,,14.80%,1.0252
MID000183,"$12,768.31","$12,317.06","$2,750.92",,,14.40%,1.0063
MID000184,"$12,584.19","$12,338.23","$2,552.60",,,16.20%,1.0124
MID000185,"$51,473.00","$50,340.35","$11,375.20",,,14.80%,1.0086
MID000186,"$1,266,847.82","$1,237,197.18","$268,314.91",,,16.00%,0.9945
MID000187,"$1,295.40","$1,267.74",$261.13,,,9.80%,1.1313
MID000188,"$1,316,267.98","$1,267,972.43","$291,478.07",,,12.40%,1.0850
MID000189,"$117,930.85","$115,153.17","$26,107.09",,,12.20%,1.0699
MID000190,"$71,387.26","$69,726.22","$15,509.02",,,13.80%,1.0566
MID000191,"$114,406.20","$112,001.58","$25,084.30",,,17.60%,0.9730
MID000192,"$13,094.72","$12,808.42","$2,916.18",,,13.20%,1.0612
