MEMBER_ID,PORTFOLIO,OPTIMIZED_EXPECTED_FINAL_PORTFOLIO_VALUE,OPTIMIZED_MEDIAN_FINAL_PORTFOLIO_VALUE,OPTIMIZED_STANDARD_DEVIATION_OF_FINAL_PORTFOLIO_VALUE,OPTIMIZED_VALUE_AT_RISK,OPTIMIZED_CONDITIONAL_VALUE_AT_RISK,OPTIMIZED_PROBABILITY_OF_LOSS,OPTIMIZED_SHARPE_RATIO
MID000001,CCSO,"$6,467.36","$6,339.06","$1,314.62",$515.22,$888.62,12.00%,1.1162
MID000001,MPJ,"$6,467.36","$6,339.06","$1,314.62",$515.22,$888.62,12.00%,1.1162
MID000001,ABC,"$6,467.36","$6,339.06","$1,314.62",$515.22,$888.62,12.00%,1.1162
MID000001,EG,"$6,467.36","$6,339.06","$1,314.62",$515.22,$888.62,12.00%,1.1162
MID000002,EG,"$87,989.56","$86,695.94","$18,228.57","$7,602.82","$13,404.65",15.80%,1.0417
MID000002,ABC,"$87,989.56","$86,695.94","$18,228.57","$7,602.82","$13,404.65",15.80%,1.0417
MID000002,ONH,"$87,989.56","$86,695.94","$18,228.57","$7,602.82","$13,404.65",15.80%,1.0417
MID000002,MZNA,"$87,989.56","$86,695.94","$18,228.57","$7,602.82","$13,404.65",15.80%,1.0417
MID000002,FWC,"$87,989.56","$86,695.94","$18,228.57","$7,602.82","$13,404.65",15.80%,1.0417
MID000002,GMNA,"$87,989.56","$86,695.94","$18,228.57","$7,602.82","$13,404.65",15.80%,1.0417
MID000002,TCA,"$87,989.56","$86,695.94","$18,228.57","$7,602.82","$13,404.65",15.80%,1.0417
MID000002,OCST,"$87,989.56","$86,695.94","$18,228.57","$7,602.82","$13,404.65",15.80%,1.0417
MID000002,ALPA,"$87,989.56","$86,695.94","$18,228.57","$7,602.82","$13,404.65",15.80%,1.0417
MID000003,MMM,"$62,284.16","$60,616.68","$13,429.26","$4,797.37","$8,718.26",14.00%,0.9892
MID000003,PG,"$62,284.16","$60,616.68","$13,429.26","$4,797.37","$8,718.26",14.00%,0.9892
MID000003,NTIC,"$62,284.16","$60,616.68","$13,429.26","$4,797.37","$8,718.26",14.00%,0.9892
MID000003,EPF,"$62,284.16","$60,616.68","$13,429.26","$4,797.37","$8,718.26",14.00%,0.9892
MID000003,SM,"$62,284.16","$60,616.68","$13,429.26","$4,797.37","$8,718.26",14.00%,0.9892
MID000003,ALPA,"$62,284.16","$60,616.68","$13,429.26","$4,797.37","$8,718.26",14.00%,0.9892
MID000004,JJN,"$1,289.41","$1,254.90",$290.53,$120.50,$210.67,14.60%,0.9961
MID000004,PG,"$1,289.41","$1,254.90",$290.53,$120.50,$210.67,14.60%,0.9961
MID000004,AB,"$1,289.41","$1,254.90",$290.53,$120.50,$210.67,14.60%,0.9961
MID000004,OOGGL,"$1,289.41","$1,254.90",$290.53,$120.50,$210.67,14.60%,0.9961
MID000004,NTIC,"$1,289.41","$1,254.90",$290.53,$120.50,$210.67,14.60%,0.9961
MID000004,MMM,"$1,289.41","$1,254.90",$290.53,$120.50,$210.67,14.60%,0.9961
MID000005,SM,"$6,464.04","$6,259.84","$1,337.79",$415.90,$757.94,11.60%,1.0944
MID000005,JJN,"$6,464.04","$6,259.84","$1,337.79",$415.90,$757.94,11.60%,1.0944
MID000005,ALPA,"$6,464.04","$6,259.84","$1,337.79",$415.90,$757.94,11.60%,1.0944
MID000005,NTIC,"$6,464.04","$6,259.84","$1,337.79",$415.90,$757.94,11.60%,1.0944
MID000005,HD,"$6,464.04","$6,259.84","$1,337.79",$415.90,$757.94,11.60%,1.0944
MID000005,AB,"$6,464.04","$6,259.84","$1,337.79",$415.90,$757.94,11.60%,1.0944
MID000005,MZNA,"$6,464.04","$6,259.84","$1,337.79",$415.90,$757.94,11.60%,1.0944
MID000006,FWC,"$70,278.88","$68,902.14","$14,770.50","$6,234.79","$10,404.06",13.80%,1.0344
MID000006,ONH,"$70,278.88","$68,902.14","$14,770.50","$6,234.79","$10,404.06",13.80%,1.0344
MID000006,MMM,"$70,278.88","$68,902.14","$14,770.50","$6,234.79","$10,404.06",13.80%,1.0344
MID000006,LTSA,"$70,278.88","$68,902.14","$14,770.50","$6,234.79","$10,404.06",13.80%,1.0344
MID000006,GMNA,"$70,278.88","$68,902.14","$14,770.50","$6,234.79","$10,404.06",13.80%,1.0344
MID000007,JJN,"$6,514.78","$6,422.48","$1,390.03",$590.59,$962.05,12.40%,1.0897
MID000007,EG,"$6,514.78","$6,422.48","$1,390.03",$590.59,$962.05,12.40%,1.0897
MID000007,AB,"$6,514.78","$6,422.48","$1,390.03",$590.59,$962.05,12.40%,1.0897
MID000008,ONH,"$14,398.95","$14,232.29","$2,997.13","$1,090.72","$1,844.99",11.40%,1.1341
MID000008,EPF,"$14,398.95","$14,232.29","$2,997.13","$1,090.72","$1,844.99",11.40%,1.1341
MID000008,MMM,"$14,398.95","$14,232.29","$2,997.13","$1,090.72","$1,844.99",11.40%,1.1341
MID000008,FWC,"$14,398.95","$14,232.29","$2,997.13","$1,090.72","$1,844.99",11.40%,1.1341
MID000008,LTSA,"$14,398.95","$14,232.29","$2,997.13","$1,090.72","$1,844.99",11.40%,1.1341
MID000008,OK,"$14,398.95","$14,232.29","$2,997.13","$1,090.72","$1,844.99",11.40%,1.1341
MID000009,OCST,"$102,554.58","$99,923.63","$20,790.72","$6,765.32","$13,782.34",11.20%,1.0848
MID000009,HD,"$102,554.58","$99,923.63","$20,790.72","$6,765.32","$13,782.34",11.20%,1.0848
MID000009,DMC,"$102,554.58","$99,923.63","$20,790.72","$6,765.32","$13,782.34",11.20%,1.0848
MID000009,ALPA,"$102,554.58","$99,923.63","$20,790.72","$6,765.32","$13,782.34",11.20%,1.0848
MID000009,AB,"$102,554.58","$99,923.63","$20,790.72","$6,765.32","$13,782.34",11.20%,1.0848
MID000009,ABC,"$102,554.58","$99,923.63","$20,790.72","$6,765.32","$13,782.34",11.20%,1.0848
MID000010,PG,"$63,895.16","$62,894.89","$13,258.21","$4,741.42","$8,195.89",11.00%,1.1235
MID000010,TCA,"$63,895.16","$62,894.89","$13,258.21","$4,741.42","$8,195.89",11.00%,1.1235
MID000010,NTIC,"$63,895.16","$62,894.89","$13,258.21","$4,741.42","$8,195.89",11.00%,1.1235
MID000010,ABC,"$63,895.16","$62,894.89","$13,258.21","$4,741.42","$8,195.89",11.00%,1.1235
MID000011,SM,"$57,570.87","$56,385.62","$11,987.68","$4,480.50","$8,495.19",13.60%,1.0486
MID000011,TWM,"$57,570.87","$56,385.62","$11,987.68","$4,480.50","$8,495.19",13.60%,1.0486
MID000011,PEP,"$57,570.87","$56,385.62","$11,987.68","$4,480.50","$8,495.19",13.60%,1.0486
MID000011,EG,"$57,570.87","$56,385.62","$11,987.68","$4,480.50","$8,495.19",13.60%,1.0486
MID000012,ABT,"$58,015.35","$56,405.30","$12,075.46","$4,347.37","$7,783.31",13.20%,1.0778
MID000012,EPF,"$58,015.35","$56,405.30","$12,075.46","$4,347.37","$7,783.31",13.20%,1.0778
MID000012,DMC,"$58,015.35","$56,405.30","$12,075.46","$4,347.37","$7,783.31",13.20%,1.0778
MID000012,MPJ,"$58,015.35","$56,405.30","$12,075.46","$4,347.37","$7,783.31",13.20%,1.0778
MID000013,ONH,"$14,368.13","$13,807.54","$3,129.29","$1,016.51","$1,915.16",11.80%,1.0763
MID000013,SM,"$14,368.13","$13,807.54","$3,129.29","$1,016.51","$1,915.16",11.80%,1.0763
MID000013,OOGGL,"$14,368.13","$13,807.54","$3,129.29","$1,016.51","$1,915.16",11.80%,1.0763
MID000013,OK,"$14,368.13","$13,807.54","$3,129.29","$1,016.51","$1,915.16",11.80%,1.0763
MID000013,GMNA,"$14,368.13","$13,807.54","$3,129.29","$1,016.51","$1,915.16",11.80%,1.0763
MID000014,FWC,"$6,473.86","$6,279.28","$1,344.40",$506.16,$861.88,12.00%,1.0963
MID000014,NEK,"$6,473.86","$6,279.28","$1,344.40",$506.16,$861.88,12.00%,1.0963
MID000014,OCST,"$6,473.86","$6,279.28","$1,344.40",$506.16,$861.88,12.00%,1.0963
MID000014,EG,"$6,473.86","$6,279.28","$1,344.40",$506.16,$861.88,12.00%,1.0963
MID000014,MPJ,"$6,473.86","$6,279.28","$1,344.40",$506.16,$861.88,12.00%,1.0963
MID000014,HD,"$6,473.86","$6,279.28","$1,344.40",$506.16,$861.88,12.00%,1.0963
MID000015,GS,"$1,293.31","$1,266.23",$287.37,$94.58,$192.29,13.80%,1.0207
MID000015,ABC,"$1,293.31","$1,266.23",$287.37,$94.58,$192.29,13.80%,1.0207
MID000015,JJN,"$1,293.31","$1,266.23",$287.37,$94.58,$192.29,13.80%,1.0207
