MEMBER_ID,Expected Final Portfolio Value,Median Final Portfolio Value,Standard Deviation of Final Portfolio Value,Value at Risk (VaR 95%),Conditional Value at Risk (CVaR 95%),Probability of Loss,Sharpe Ratio
MID000001,"$6,276.49","$6,104.54","$1,375.97",$723.77,"$1,100.46",16.20%,0.9277
MID000002,"$85,991.79","$83,747.49","$18,111.73","$9,837.59","$14,744.90",17.40%,0.9382
MID000003,"$60,503.55","$58,551.78","$12,773.78","$6,032.60","$10,164.04",17.80%,0.9006
MID000004,"$1,216.00","$1,190.61",$255.10,$161.59,$206.52,19.40%,0.8467
MID000005,"$6,097.89","$5,955.96","$1,245.23",$742.90,"$1,118.26",17.80%,0.8817
MID000006,"$67,251.68","$65,803.09","$14,428.28","$8,401.43","$13,329.79",19.60%,0.8491
MID000007,"$6,098.44","$6,016.85","$1,201.57",$746.28,"$1,099.63",18.20%,0.9142
MID000008,"$13,556.37","$13,130.44","$2,948.55","$1,671.77","$2,424.34",18.00%,0.8670
MID000009,"$99,256.74","$97,512.80","$20,755.11","$10,142.62","$16,377.21",17.60%,0.9278
MID000010,"$61,112.59","$59,095.05","$13,434.31","$6,054.63","$9,626.59",18.40%,0.9016
MID000011,"$55,056.68","$54,084.50","$11,551.29","$6,834.70","$10,048.86",17.40%,0.8706
MID000012,"$55,317.44","$54,745.81","$11,267.75","$6,077.56","$9,927.59",17.80%,0.9157
MID000013,"$13,777.98","$13,449.99","$2,806.97","$1,218.26","$2,064.17",15.20%,0.9897
MID000014,"$6,120.52","$6,002.54","$1,294.95",$744.10,"$1,155.38",19.60%,0.8653
MID000015,"$1,209.92","$1,179.52",$262.16,$155.65,$221.71,22.20%,0.8007
MID000016,"$59,891.47","$58,127.75","$12,704.17","$6,985.59","$10,235.39",20.60%,0.8573
MID000017,"$55,582.29","$53,729.78","$11,794.05","$5,695.30","$8,890.74",17.60%,0.8973
MID000018,"$60,464.08","$59,407.55","$12,944.14","$7,193.69","$10,558.69",18.80%,0.8857
MID000019,"$6,168.51","$6,016.04","$1,373.21",$806.62,"$1,109.45",20.80%,0.8509
MID000020,"$1,234.02","$1,202.03",$251.92,$114.90,$199.27,16.00%,0.9289
MID000021,"$98,736.55","$97,126.92","$20,291.02","$9,953.56","$17,164.78",16.40%,0.9234
MID000022,"$108,796.64","$107,484.10","$22,453.25","$13,672.93","$20,308.77",16.40%,0.9262
MID000023,"$1,233,482.34","$1,220,030.80","$246,244.37","$132,621.32","$198,453.06",16.60%,0.9482
MID000024,"$1,224.32","$1,199.18",$244.44,$129.27,$184.38,18.00%,0.9177
MID000025,"$109,651.37","$107,465.94","$22,223.39","$9,103.58","$15,852.80",15.80%,0.9743
MID000026,"$84,624.73","$83,553.38","$18,189.36","$10,331.90","$17,494.80",19.80%,0.8590
MID000027,"$108,406.92","$106,628.83","$21,755.48","$10,719.21","$18,059.46",17.00%,0.9380
MID000028,"$12,610.37","$12,310.31","$2,669.56","$1,216.41","$1,843.94",15.80%,0.9778
MID000029,"$49,671.65","$48,785.89","$10,418.88","$5,277.68","$8,342.99",17.80%,0.9283
MID000030,"$12,117.16","$11,928.37","$2,431.93","$1,466.19","$2,059.64",19.20%,0.8706
MID000031,"$98,882.82","$97,386.88","$20,842.49","$10,588.71","$18,104.70",18.60%,0.9060
MID000032,"$59,754.95","$58,818.44","$12,645.33","$7,239.06","$10,179.58",22.00%,0.8505
MID000033,"$12,292.87","$12,017.86","$2,597.18","$1,588.81","$2,236.44",18.00%,0.8828
MID000034,"$84,844.11","$82,923.13","$17,997.74","$10,894.45","$15,040.32",20.40%,0.8803
MID000035,"$56,398.16","$55,463.09","$11,885.68","$5,776.62","$8,927.42",17.60%,0.9590
MID000036,"$59,949.71","$58,947.83","$12,345.18","$8,449.72","$11,047.11",18.40%,0.8870
