PORTFOLIO,INITIAL_INVESTMENT_STOCKS
CCSO,1250.0
MPJ,1250.0
ABC,1250.0
EG,1250.0
EG,7666.666666666667
ABC,7666.666666666667
ONH,7666.666666666667
MZNA,7666.666666666667
FWC,7666.666666666667
GMNA,7666.666666666667
TCA,7666.666666666667
OCST,7666.666666666667
ALPA,7666.666666666667
MMM,8166.666666666667
PG,8166.666666666667
NTIC,8166.666666666667
EPF,8166.666666666667
SM,8166.666666666667
ALPA,8166.666666666667
JJN,166.66666666666666
PG,166.66666666666666
AB,166.66666666666666
OOGGL,166.66666666666666
NTIC,166.66666666666666
MMM,166.66666666666666
SM,714.2857142857143
JJN,714.2857142857143
ALPA,714.2857142857143
NTIC,714.2857142857143
HD,714.2857142857143
AB,714.2857142857143
MZNA,714.2857142857143
FWC,11000.0
ONH,11000.0
MMM,11000.0
LTSA,11000.0
GMNA,11000.0
JJN,1666.6666666666667
EG,1666.6666666666667
AB,1666.6666666666667
ONH,1833.3333333333333
EPF,1833.3333333333333
MMM,1833.3333333333333
FWC,1833.3333333333333
LTSA,1833.3333333333333
OK,1833.3333333333333
OCST,13333.333333333334
HD,13333.333333333334
DMC,13333.333333333334
ALPA,13333.333333333334
AB,13333.333333333334
ABC,13333.333333333334
PG,12250.0
TCA,12250.0
NTIC,12250.0
ABC,12250.0
SM,11250.0
TWM,11250.0
PEP,11250.0
EG,11250.0
ABT,11250.0
EPF,11250.0
DMC,11250.0
MPJ,11250.0
ONH,2200.0
SM,2200.0
OOGGL,2200.0
OK,2200.0
GMNA,2200.0
FWC,833.3333333333334
NEK,833.3333333333334
OCST,833.3333333333334
EG,833.3333333333334
MPJ,833.3333333333334
HD,833.3333333333334
GS,111.11111111111111
ABC,111.11111111111111
JJN,111.11111111111111
ALPA,111.11111111111111
TWM,111.11111111111111
HD,111.11111111111111
KRM,111.11111111111111
EG,111.11111111111111
NTIC,111.11111111111111
GMNA,9800.0
AB,9800.0
MTFS,9800.0
MPJ,9800.0
MMM,9800.0
PG,6428.571428571428
HD,6428.571428571428
MZNA,6428.571428571428
OOGGL,6428.571428571428
KRM,6428.571428571428
EG,6428.571428571428
AB,6428.571428571428
FWC,12250.0
TWM,12250.0
JJN,12250.0
HD,12250.0
JJN,714.2857142857143
SM,714.2857142857143
TCA,714.2857142857143
ONH,714.2857142857143
ALPA,714.2857142857143
LTSA,714.2857142857143
TWM,714.2857142857143
TCA,250.0
OCST,250.0
PG,250.0
NTIC,250.0
TCA,8888.888888888889
HD,8888.888888888889
MMM,8888.888888888889
LTSA,8888.888888888889
ABT,8888.888888888889
DMC,8888.888888888889
AB,8888.888888888889
OCST,8888.888888888889
OOGGL,8888.888888888889
NTIC,22000.0
GS,22000.0
ALPA,22000.0
DMC,22000.0
CCSO,250000.0
OOGGL,250000.0
KRM,250000.0
TWM,250000.0
CCSO,333.3333333333333
DMC,333.3333333333333
ABT,333.3333333333333
OOGGL,44000.0
MZNA,44000.0
DMC,13800.0
NTIC,13800.0
ABT,13800.0
CCSO,13800.0
OK,13800.0
EPF,29333.333333333332
EG,29333.333333333332
NTIC,29333.333333333332
DMC,5000.0
MTFS,5000.0
ABC,4444.444444444444
JJN,4444.444444444444
KRM,4444.444444444444
PG,4444.444444444444
SM,4444.444444444444
OCST,4444.444444444444
NTIC,4444.444444444444
GS,4444.444444444444
NEK,4444.444444444444
PEP,2000.0
ONH,2000.0
CCSO,2000.0
ALPA,2000.0
OK,2000.0
TWM,26666.666666666668
KRM,26666.666666666668
PEP,26666.666666666668
ABC,16333.333333333334
PEP,16333.333333333334
ONH,16333.333333333334
PG,1666.6666666666667
TWM,1666.6666666666667
NTIC,1666.6666666666667
MZNA,1666.6666666666667
DMC,1666.6666666666667
MMM,1666.6666666666667
ABT,11500.0
OK,11500.0
SM,11500.0
EPF,11500.0
TWM,11500.0
TCA,11500.0
PG,11250.0
JJN,11250.0
CCSO,11250.0
EPF,11250.0
ALPA,24500.0
SM,24500.0
KRM,9777.777777777777
ABC,9777.777777777777
MPJ,9777.777777777777
PEP,9777.777777777777
DMC,9777.777777777777
OOGGL,9777.777777777777
MMM,9777.777777777777
TWM,9777.777777777777
JJN,9777.777777777777
EG,30000.0
PG,30000.0
MMM,30000.0
TCA,20000.0
NEK,20000.0
MMM,20000.0
EPF,20000.0
TWM,9166.666666666666
DMC,9166.666666666666
ONH,9166.666666666666
MTFS,9166.666666666666
MPJ,9166.666666666666
EG,9166.666666666666
LTSA,20000.0
ONH,20000.0
DMC,20000.0
TCA,20000.0
TWM,333.3333333333333
EG,333.3333333333333
OOGGL,333.3333333333333
OOGGL,7500.0
PG,7500.0
PEP,7500.0
TWM,7500.0
JJN,7500.0
DMC,7500.0
TWM,6125.0
GMNA,6125.0
LTSA,6125.0
ALPA,6125.0
SM,6125.0
PG,6125.0
NEK,6125.0
TCA,6125.0
PEP,27500.0
NTIC,27500.0
ALPA,9777.777777777777
PG,9777.777777777777
MTFS,9777.777777777777
LTSA,9777.777777777777
OK,9777.777777777777
ONH,9777.777777777777
ABT,9777.777777777777
JJN,9777.777777777777
TWM,9777.777777777777
ABC,2500.0
OK,2500.0
JJN,2500.0
LTSA,2500.0
LTSA,1666.6666666666667
ONH,1666.6666666666667
FWC,1666.6666666666667
ABT,1666.6666666666667
ALPA,1666.6666666666667
KRM,1666.6666666666667
NTIC,13333.333333333334
MMM,13333.333333333334
FWC,13333.333333333334
EPF,13333.333333333334
KRM,13333.333333333334
DMC,13333.333333333334
FWC,5555.555555555556
TWM,5555.555555555556
NTIC,5555.555555555556
LTSA,5555.555555555556
EPF,5555.555555555556
GS,5555.555555555556
TCA,5555.555555555556
PEP,5555.555555555556
OCST,5555.555555555556
SM,166.66666666666666
TWM,166.66666666666666
NEK,166.66666666666666
PG,166.66666666666666
OCST,166.66666666666666
LTSA,166.66666666666666
SM,11250.0
NEK,11250.0
MMM,11250.0
EPF,11250.0
HD,1000.0
NEK,1000.0
LTSA,1000.0
GS,1000.0
ONH,1000.0
NTIC,714.2857142857143
MMM,714.2857142857143
JJN,714.2857142857143
OOGGL,714.2857142857143
TCA,714.2857142857143
HD,714.2857142857143
MPJ,714.2857142857143
MMM,125.0
ONH,125.0
EPF,125.0
MTFS,125.0
LTSA,125.0
MPJ,125.0
TCA,125.0
MZNA,125.0
MZNA,12250.0
SM,12250.0
TWM,12250.0
OCST,12250.0
HD,24250.0
OCST,24250.0
CCSO,24250.0
ABC,24250.0
PG,2750.0
ALPA,2750.0
JJN,2750.0
MZNA,2750.0
GS,3333.3333333333335
JJN,3333.3333333333335
NEK,3333.3333333333335
JJN,14666.666666666666
NEK,14666.666666666666
GS,14666.666666666666
AB,14666.666666666666
FWC,14666.666666666666
OCST,14666.666666666666
DMC,5625.0
MZNA,5625.0
ABC,5625.0
OOGGL,5625.0
FWC,5625.0
NTIC,5625.0
OK,5625.0
ONH,5625.0
TCA,6250.0
NTIC,6250.0
AB,6250.0
ABT,6250.0
LTSA,6250.0
MZNA,6250.0
ABC,6250.0
MMM,6250.0
OCST,200.0
ABT,200.0
OK,200.0
PG,200.0
